index;UserID;Item;Valor
0;15796;Fone de Ouvido;200
1;861;Mochila;100
2;76821;Carregador;80
3;54887;Carregador;80
4;6266;Fone de Ouvido;200
5;82387;Fone de Ouvido;200
6;37195;Carregador;80
7;87499;Fone de Ouvido;200
8;44132;Fone de Ouvido;200
9;60264;Carregador;80
10;16024;Fone de Ouvido;200
11;41091;Carregador;80
12;67222;Mochila;100
13;64821;Fone de Ouvido;200
14;770;Monitor;800
15;59736;Carregador;80
16;62956;Fone de Ouvido;200
17;64926;Teclado;150
18;67970;Cadeira;500
19;5312;Mochila;100
20;83105;Mochila;100
21;53708;Mochila;100
22;85306;Carregador;80
23;28694;Carregador;80
24;71933;Teclado;150
25;93017;Carregador;80
26;25659;Cadeira;500
27;84479;Cadeira;500
28;18432;Carregador;80
29;2748;Mochila;100
30;59151;Teclado;150
31;65726;Mochila;100
32;84655;Carregador;80
33;35774;Mochila;100
34;67436;Cadeira;500
35;56887;Mochila;100
36;66804;Carregador;80
37;31552;Carregador;80
38;11395;Carregador;80
39;69093;Fone de Ouvido;200
40;3891;Fone de Ouvido;200
41;41607;Laptop;3000
42;96277;Mochila;100
43;80039;Cadeira;500
44;87314;Carregador;80
45;10628;Cadeira;500
46;8793;Cadeira;500
47;73970;Mochila;100
48;43002;Cadeira;500
49;76553;Mochila;100
50;23898;Carregador;80
51;68149;Cadeira;500
52;23484;Mochila;100
53;48556;Carregador;80
54;17160;Teclado;150
55;80078;Carregador;80
56;35921;Fone de Ouvido;200
57;92068;Fone de Ouvido;200
58;67122;Mouse;50
59;69480;Fone de Ouvido;200
60;89476;Mochila;100
61;19458;Carregador;80
62;66558;Carregador;80
63;77190;Fone de Ouvido;200
64;78954;Cadeira;500
65;52996;Fone de Ouvido;200
66;40758;Cadeira;500
67;9693;Teclado;150
68;45759;Cadeira;500
69;72410;Cadeira;500
70;71212;Cadeira;500
71;65698;Fone de Ouvido;200
72;37066;Mochila;100
73;92094;Mochila;100
74;99300;Mochila;100
75;32607;Fone de Ouvido;200
76;11535;Mochila;100
77;94664;Carregador;80
78;40398;Fone de Ouvido;200
79;91388;Mochila;100
80;1017;Cadeira;500
81;89790;Mochila;100
82;55592;Teclado;150
83;89813;Mochila;100
84;23248;Mochila;100
85;24301;Carregador;80
86;74066;Fone de Ouvido;200
87;82799;Carregador;80
88;9269;Cadeira;500
89;86808;Mochila;100
90;12186;Carregador;80
91;63705;Teclado;150
92;86780;Fone de Ouvido;200
93;39100;Carregador;80
94;8572;Carregador;80
95;38045;Carregador;80
96;51215;Fone de Ouvido;200
97;61229;Carregador;80
98;48985;Carregador;80
99;40775;Carregador;80
100;2569;Mochila;100
101;62593;Carregador;80
102;67564;Cadeira;500
